Company Name,CEO Name,CEO Pay,Median Employee Pay,CEO Pay Ratio
Colgate-Palmolive,Ian M. Cook,11551328,24513,471
Comcast Corp.,Brian L. Roberts,35041029,82205,426
Comerica Inc.,Curtis C. Farmer,14632651,85981,170
Conagra Brands,Sean Connolly,14392748,45590,316
Concho Resources,Timothy A. Leach,12980443,157850,82
ConocoPhillips,R. M. Lance,30381543,186334,163
Consolidated Edison,John McAvoy,15345285,215556,71
Constellation Brands,Robert Sands,10312778,53851,192
The Cooper Companies,na,-1,-1,-1
Copart Inc,A. Jayson Adair,156315,35360,4
Corning Inc.,Wendell P. Weeks,14283654,49121,291
Corteva,James C. Collins Jr.,11357053,80757,141
Costco Wholesale Corp.,W. Craig Jelinek,8016200,47312,169
Crown Castle International Corp.,Jay A. Brown,9025526,111866,81
CSX Corp.,James M. Foote,15537181,107632,144
Cummins Inc.,N. T. Linebarger,25116751,73480,342
CVS Health,Larry J. Merlo,21953040,35529,618
D. R. Horton,David V. Auld,14377638,86531,166
Danaher Corp.,Thomas P. Joyce Jr.,18193200,74672,244
Darden Restaurants,Eugene I. Lee Jr.,10710578,18175,589
DaVita Inc.,Kent J. Thiry,32031175,60889,526
Deere & Co.,Samuel R. Allen,21697885,80267,270
Delta Air Lines Inc.,Edward H. Bastian,17325379,118198,147
Dentsply Sirona,Donald M. Casey Jr.,11366243,50861,223
Devon Energy,David A. Hager,12500000,158000,79
DexCom,Kevin Sayer,10279373,94523,109
Diamondback Energy,Travis D. Stice,16049655,137832,116
Digital Realty Trust Inc,A. William Stein,12337700,157230,78
Discover Financial Services,na,-1,-1,-1
"Discovery, Inc.",David M. Zaslav,45843912,79343,578
Dish Network,W. Erik Carlson,1007020,54685,18
Dollar General,Todd J. Vasos,12008059,14571,824
Dollar Tree,Gary Philbin,10604621,15375,690
Dominion Energy,Thomas F. Farrell II,17257035,145136,119
Domino's Pizza,Richard E. Allison Jr.,5495804,17919,307
Dover Corporation,Richard J. Tobin,9149075,45141,203
Dow Inc.,Jim Fitterling,15878639,109556,145
DTE Energy Co.,Gerardo Norcia,8776433,119157,74
Duke Energy,Lynn J. Good,15029386,123608,122
Duke Realty Corp,James B. Connor,6693904,122714,55
DuPont de Nemours Inc,Edward D. Breen,18675301,75018,249
DXC Technology,Michael J. Salvino,18973666,41602,456
Eastman Chemical,Mark J. Costa,14556133,81638,178
Eaton Corporation,C. Arnold,19980672,57712,346
eBay Inc.,na,-1,-1,-1
Ecolab Inc.,Douglas M. Baker Jr.,19803193,54234,365
Edison Int'l,na,-1,-1,-1
Edwards Lifesciences,Michael A. Mussallem,11520973,64517,179
Electronic Arts,ANDREW WILSON,21365751,97986,218
Emerson Electric Company,D. N. Farr,20310575,47415,428
Entergy Corp.,Leo P. Denault,14264249,129663,110
EOG Resources,William R. Thomas,12751421,175681,73
Equifax Inc.,Mark W. Begor,14281552,72230,198
Equinix,Charles Meyers,12573795,97035,130
Equity Residential,David J. Neithercut,11004730,57841,190
"Essex Property Trust, Inc.",Michael J. Schall,6419864,74338,86
Estée Lauder Companies,na,-1,-1,-1
Etsy,Josh Silverman,1044083,173680,6
Evergy,Terry Bassham,5793975,153717,38
Eversource Energy,James J. Judge,19806088,133899,148
Everest Re Group Ltd.,Dominic J. Addesso,7626619,144915,53
Exelon Corp.,Christopher M. Crane,15400000,126000,122
Expedia Group,na,-1,-1,-1
Expeditors,na,-1,-1,-1
Extra Space Storage,Joseph D. Margolis,6284975,38658,163
Exxon Mobil Corp.,D. W. Woods,23529292,173712,135
F5 Networks,François Locoh-Donou,9473457,176749,54
"Facebook, Inc.",Mark Zuckerberg,23415973,247883,94
Fastenal Co,Daniel L. Florness,1759943,45842,38
Federal Realty Investment Trust,Donald C. Wood,7630858,111105,69
FedEx Corporation,Frederick W. Smith,15973884,52718,303
Fidelity National Information Services,na,-1,-1,-1
Fifth Third Bancorp,Greg D. Carmichael,8999237,68103,132
FirstEnergy Corp,Charles E. Jones Jr.,14684659,149550,98
First Republic Bank,na,-1,-1,-1
Fiserv Inc,Jeffery W. Yabuki,27633556,65254,423
FleetCor Technologies Inc,Ronald F. Clarke,7757388,33330,233
FLIR Systems,James J. Cannon,5492416,76714,72
Flowserve Corporation,R. Scott Rowe,8702469,81830,106
FMC Corporation,Pierre Brondeau,11536552,51332,225
Ford Motor Company,James P. Hackett,17752835,64316,276
Fortinet,Ken Xie,6761686,131767,51
Fortive Corp,James A. Lico,13720993,56718,242
Fortune Brands Home & Security,Christopher J. Klein,10693887,57125,187
Fox Corporation,na,-1,-1,-1
Franklin Resources,Gregory E. Johnson,10431335,63941,163
Freeport-McMoRan Inc.,Richard C. Adkerson,15742249,75874,207
Gap Inc.,na,-1,-1,-1
Garmin Ltd.,Clifton A. Pemble,3233412,35188,92
Gartner Inc,Eugene A. Hall,11502517,107147,107
General Dynamics,Phebe N. Novakovic,18313204,116510,157
General Electric,Larry Culp,24553788,50471,486
General Mills,Jeffrey L. Harmening,9855417,57177,172
General Motors,Mary T. Barra,21630867,106715,203
Genuine Parts,Paul D. Donahue,8169948,39321,208
Gilead Sciences,John F. Milligan,25961831,163963,158
Globe Life Inc.,na,-1,-1,-1
Global Payments Inc.,Jeffrey S. Sloan,20502096,56040,366
Goldman Sachs Group,David M. Solomon,24657737,138854,178
Grainger (W.W.) Inc.,na,-1,-1,-1
Halliburton Co.,Jeffrey A. Miller,12770467,87289,146
Hanesbrands Inc,Gerald W. Evans Jr.,3956325,7076,559
Hartford Financial Svc.Gp.,na,-1,-1,-1
Hasbro Inc.,Brian Goldner,8499623,66893,127
HCA Healthcare,Samuel N. Hazen,26788251,56012,478
Healthpeak Properties,na,-1,-1,-1
Henry Schein,Stanley M. Bergman,14438094,71272,203
The Hershey Company,na,-1,-1,-1
Hess Corporation,John B. Hess,12572440,178908,70
Hewlett Packard Enterprise,Antonio F. Neri,13714497,67196,204
Hilton Worldwide Holdings Inc,Christopher J. Nassetta,21387511,43695,489
HollyFrontier Corp,George J. Damiris,5169280,129232,40
Hologic,Stephen P. MacMillan,12374753,91403,135
Home Depot,Craig A. Menear,10889833,22652,481
Honeywell Int'l Inc.,na,-1,-1,-1
Hormel Foods Corp.,James P. Snee,8324267,45086,185
Host Hotels & Resorts,James F. Risoleo,9434465,197781,48
Howmet Aerospace,na,-1,-1,-1
HP Inc.,Dion J. Weisler,19215534,79719,241
Humana Inc.,Bruce D. Broussard,16726455,73669,227
Huntington Bancshares,Stephen D. Steinour,7488685,61717,121
Huntington Ingalls Industries,na,-1,-1,-1
IDEX Corporation,Andrew K. Silvernail,9119596,66703,137
IDEXX Laboratories,na,-1,-1,-1
IHS Markit Ltd.,Lance Uggla,13070056,90999,144
Illinois Tool Works,E. Scott Santi,17723369,49632,357
Illumina Inc,Francis A. deSouza,1521949,104555,15
Incyte,Hervé Hoppenot,9314189,228006,41
Ingersoll Rand,M. W. Lamach,24217128,54757,442
Intel Corp.,Robert H. Swan,66935100,96300,695
Intercontinental Exchange,Jeffrey C. Sprecher,14513403,138412,105
International Business Machines,na,-1,-1,-1
International Paper,na,-1,-1,-1
Interpublic Group,na,-1,-1,-1
International Flavors & Fragrances,na,-1,-1,-1
Intuit Inc.,Sasan K. Goodarzi,17933345,157232,114
Intuitive Surgical Inc.,Gary S. Guthart Ph.D.,6470374,157267,41
Invesco Ltd.,Martin L. Flanagan,11518949,125282,92
IPG Photonics Corp.,Valentin P. Gapontsev,1251984,31205,40
IQVIA Holdings Inc.,na,-1,-1,-1
Iron Mountain Incorporated,na,-1,-1,-1
Jack Henry & Associates,na,-1,-1,-1
Jacobs Engineering Group,Steven J. Demetriou,14627254,79733,183
J. B. Hunt Transport Services,na,-1,-1,-1
JM Smucker,na,-1,-1,-1
Johnson & Johnson,Alex Gorsky,25380258,76000,334
Johnson Controls International,George R. Oliver,15476638,41987,369
JPMorgan Chase & Co.,James Dimon,30040153,78923,381
Juniper Networks,Rami Rahim,11129890,129616,86
Kansas City Southern,Patrick J. Ottensmeyer,5523327,48187,115
Kellogg Co.,Steve Cahillane,9694223,38895,249
KeyCorp,Beth E. Mooney,9663988,63748,152
Keysight Technologies,Ronald S. Nersesian,11124216,84714,131
Kimberly-Clark,Michael D. Hsu,12028120,47328,254
Kimco Realty,Conor C. Flynn,6948567,102500,68
Kinder Morgan,Steven J. Kean,7270,111546,0
KLA Corporation,na,-1,-1,-1
Kraft Heinz Co,Bernardo Hees,29047768,47612,610
Kroger Co.,W. Rodney McMullen,12037872,24912,483
L Brands Inc.,Leslie H. Wexner,3783221,13490,280
L3Harris Technologies,William M. Brown,15745630,58426,269
Laboratory Corp. of America Holding,na,-1,-1,-1
Lam Research,Timothy M. Archer,11753004,104541,112
Lamb Weston Holdings Inc,Thomas P. Werner,6837282,55629,123
Las Vegas Sands,Sheldon G. Adelson,24680118,42228,584
Leggett & Platt,Karl G. Glassman,10204342,36441,280
Leidos Holdings,Roger A. Krone,10671271,103657,103
Lennar Corp.,Rick Beckwitt,18279581,102830,178
Lilly (Eli) & Co.,David A. Ricks,21283242,96290,221
Lincoln National,DENNIS R. GLASS,14422495,70828,204
Linde plc,Stephen F. Angel,66149326,40601,1629
Live Nation Entertainment,Michael Rapino,14563122,18333,794
LKQ Corporation,Dominick Zarcone,6429072,29945,215
Lockheed Martin Corp.,Marillyn A. Hewson,30900000,154883,200
Loews Corp.,James S. Tisch,9312872,72145,129
Lowe's Cos.,Marvin R. Ellison,11621369,22748,511
Lumen Technologies,na,-1,-1,-1
LyondellBasell,na,-1,-1,-1
M&T Bank Corp.,na,-1,-1,-1
Marathon Oil Corp.,Lee M. Tillman,12210874,116041,105
Marathon Petroleum,Gary R. Heminger,24129164,210248,115
MarketAxess,na,-1,-1,-1
Marriott Int'l.,Arne M. Sorenson,13435887,38878,346
Marsh & McLennan,na,-1,-1,-1
Martin Marietta Materials,C. Howard Nye,8533458,71335,120
Masco Corp.,Keith J. Allman,8659363,40070,216
Mastercard Inc.,Ajay Banga,23249977,138142,168
McCormick & Co.,Lawrence E. Kurzius,12769184,31603,404
Maxim Integrated Products Inc,Tunc Doluca,9143785,32372,282
McDonald's Corp.,Christopher Kempczinski,18012549,9291,1939
McKesson Corp.,Brian S. Tyler,15435470,40601,380
Medtronic plc,Omar Ishrak,14822740,62286,238
Merck & Co.,Kenneth C. Frazier,27648475,95621,289
MetLife Inc.,Steven A. Kandarian,17439109,73464,237
Mettler Toledo,na,-1,-1,-1
MGM Resorts International,James J. Murren,12849021,36192,355
Microchip Technology,Steve Sanghi,6883381,43782,157
Micron Technology,Sanjay Mehrotra,16944751,60796,279
Microsoft Corp.,Satya Nadella,42910215,172512,249
Mid-America Apartments,na,-1,-1,-1
Mohawk Industries,Jeffrey S. Lorberbaum,4631485,41747,111
Molson Coors Beverage Company,na,-1,-1,-1
Mondelez International,Dirk Van de Put,18115449,32280,561
Monster Beverage,Rodney C. Sacks,13914931,55370,251
Moody's Corp,Raymond W. McDaniel,13751632,87393,157
Morgan Stanley,James P. Gorman,31642395,127414,248
The Mosaic Company,na,-1,-1,-1
Motorola Solutions Inc.,Gregory Q. Brown,23619990,93750,252
MSCI Inc,Henry A. Fernandez,9255960,55857,166
Mylan N.V.,Heather Bresch,13346299,42407,315
"Nasdaq, Inc.",Adena T. Friedman,13869051,120822,115
National Oilwell Varco Inc.,Clay C. Williams,9253961,51374,180
NetApp,George Kurian,13164969,198620,66
Netflix Inc.,Reed Hastings,38577129,202931,190
Newell Brands,Ravichandra K. Saligram,8624805,31704,272
Newmont Corporation,na,-1,-1,-1
News Corp.,na,-1,-1,-1
NextEra Energy,James L. Robo,21877597,129735,169
Nielsen Holdings,David Kenny,12936400,32646,396
