Company Name,CEO Name,CEO Pay,Median Employee Pay,CEO Pay Ratio,GICS Sector,GICS Sub-Industry
Assurant,Alan B. Colberg,10155682,43368,234,Financials,Multi-line Insurance
AT&T Inc.,R. Stephenson,32032925,98630,325,Communication Services,Integrated Telecommunication Services
Atmos Energy,Michael E. Haefner,10395993,84516,123,Utilities,Gas Utilities
Autodesk Inc.,Andrew Anagnost,11569657,114999,101,Information Technology,Application Software
Automatic Data Processing,Carlos A. Rodriguez,19000187,63225,301,Information Technology,Internet Services & Infrastructure
AutoZone Inc,William C. Rhodes III,8617562,27581,312,Consumer Discretionary,Specialty Stores
AvalonBay Communities,Timothy Naughton,10921362,70917,154,Real Estate,Residential REITs
Avery Dennison Corp,Mitchell R. Butier,8495032,12278,692,Materials,Paper Packaging
Baker Hughes Co,na,-1,-1,-1,Energy,Oil & Gas Equipment & Services
Ball Corp,John A. Hayes,11855919,93903,126,Materials,Metal & Glass Containers
Bank of America Corp,Brian T. Moynihan,26049804,94256,276,Financials,Diversified Banks
The Bank of New York Mellon,na,-1,-1,-1,Financials,Asset Management & Custody Banks
Baxter International Inc.,José E. Almeida,13913821,43131,323,Health Care,Health Care Equipment
Becton Dickinson,Vincent A. Forlenza,16014633,42219,379,Health Care,Health Care Equipment
Berkshire Hathaway,Warren E. Buffett,374773,65740,6,Financials,Multi-Sector Holdings
Best Buy Co. Inc.,Hubert Joly,17382486,28500,610,Consumer Discretionary,Computer & Electronics Retail
Bio-Rad Laboratories,Norman Schwartz,7639414,66072,116,Health Care,Life Sciences Tools & Services
Biogen Inc.,Michel Vounatsos,16168646,170521,95,Health Care,Biotechnology
BlackRock,Laurence D. Fink,26543344,136313,195,Financials,Asset Management & Custody Banks
Boeing Company,na,-1,-1,-1,Industrials,Aerospace & Defense
Booking Holdings Inc,Glenn D. Fogel,20459184,50937,402,Consumer Discretionary,Internet & Direct Marketing Retail
BorgWarner,Frédéric B. Lissalde,13947029,44389,314,Consumer Discretionary,Auto Parts & Equipment
Boston Properties,Owen D. Thomas,11917600,115266,103,Real Estate,Office REITs
Boston Scientific,Michael F. Mahoney,15764140,65630,240,Health Care,Health Care Equipment
Bristol-Myers Squibb,Giovanni Caforio M.D.,19379755,112174,173,Health Care,Health Care Distributors
Broadcom Inc.,Hock E. Tan,26947598,168268,160,Information Technology,Semiconductors
Broadridge Financial Solutions,na,-1,-1,-1,Information Technology,Data Processing & Outsourced Services
Brown-Forman Corp.,Lawson E. Whiting,6196407,58120,107,Consumer Staples,Distillers & Vintners
C. H. Robinson Worldwide,John P. Wiehoff,8558856,63270,135,Industrials,Air Freight & Logistics
Cabot Oil & Gas,Dan O. Dinges,13830926,74070,187,Energy,Oil & Gas Exploration & Production
Cadence Design Systems,Lip-Bu Tan,19146556,100773,190,Information Technology,Application Software
Campbell Soup,Mark A. Clouse,8491078,60357,141,Consumer Staples,Packaged Foods & Meats
Capital One Financial,Richard D. Fairbank,7705792,68780,112,Financials,Consumer Finance
Cardinal Health Inc.,Michael C. Kaufmann,15584454,57261,272,Health Care,Health Care Distributors
Carmax Inc,William D. Nash,9400666,42691,220,Consumer Discretionary,Specialty Stores
Carnival Corp.,na,-1,-1,-1,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
Carrier Global,na,-1,-1,-1,Industrials,Building Products
Catalent,John Chiminski,9166195,54921,167,Health Care,Pharmaceuticals
Caterpillar Inc.,D. James Umpleby III,34519129,65132,530,Industrials,Construction Machinery & Heavy Trucks
