Company Name,CEO Name,CEO Pay,Median Employee Pay,CEO Pay Ratio,GICS Sector,GICS Sub-Industry,From Salary.com?
Kinder Morgan,Steven J. Kean,7270,111546,0,Energy,Oil & Gas Storage & Transportation,yes
KLA Corporation,Richard Wallace,13324375,85924,155,Information Technology,Semiconductor Equipment,yes
Kraft Heinz Co,Bernardo Hees,29047768,47612,610,Consumer Staples,Packaged Foods & Meats,yes
Kroger Co.,W. Rodney McMullen,12037872,24912,483,Consumer Staples,Food Retail,yes
L Brands Inc.,Leslie H. Wexner,3783221,13490,280,Consumer Discretionary,Apparel Retail,yes
L3Harris Technologies,William M. Brown,15745630,58426,269,Industrials,Aerospace & Defense,yes
Laboratory Corp. of America Holding,Adam H. Schechter,13138362,41834,314,Health Care,Health Care Services,yes
Lam Research,Timothy M. Archer,11753004,104541,112,Information Technology,Semiconductor Equipment,yes
Lamb Weston Holdings Inc,Thomas P. Werner,6837282,55629,123,Consumer Staples,Packaged Foods & Meats,yes
Las Vegas Sands,Sheldon G. Adelson,24680118,42228,584,Consumer Discretionary,Casinos & Gaming,yes
Leggett & Platt,Karl G. Glassman,10204342,36441,280,Consumer Discretionary,Home Furnishings,yes
Leidos Holdings,Roger A. Krone,10671271,103657,103,Information Technology,IT Consulting & Other Services,yes
Lennar Corp.,Rick Beckwitt,18279581,102830,178,Consumer Discretionary,Homebuilding,yes
Lilly (Eli) & Co.,David A. Ricks,21283242,96290,221,Health Care,Pharmaceuticals,yes
Lincoln National,DENNIS R. GLASS,14422495,70828,204,Financials,Multi-line Insurance,yes
Linde plc,Stephen F. Angel,66149326,40601,1629,Materials,Industrial Gases,yes
Live Nation Entertainment,Michael Rapino,14563122,18333,794,Communication Services,Movies & Entertainment,yes
LKQ Corporation,Dominick Zarcone,6429072,29945,215,Consumer Discretionary,Distributors,yes
Lockheed Martin Corp.,Marillyn A. Hewson,30900000,154883,200,Industrials,Aerospace & Defense,yes
Loews Corp.,James S. Tisch,9312872,72145,129,Financials,Multi-line Insurance,yes
